id,ime,gorovje,visina,ogledi,priljubljenost,stevilo_poti
1346,Veška planina / Wackendorfer Alm,Karavanke,1568,135922,57,2
1347,Planina Korošica,Karavanke,1554,689917,97,6
1348,Rekaršica,Karavanke,1554,191915,62,2
1349,Kapelška koča / Eisenkappler Hütte,Karavanke,1553,266928,70,7
1350,Petelinjek (nad Korenskim sedlom),Karavanke,1552,6150,43,2
1351,Stara gora / Altberg,Karavanke,1552,1770,31,2
1352,Špičasti vrh / Spitzberg,Karavanke,1551,2020,32,1
1353,Ptičji vrh,Karavanke,1550,371419,80,2
1354,Planina Javornik,Karavanke,1550,432132,85,5
1355,Snežnik (nad Koprivno),Karavanke,1543,3450,38,1
1356,Dom na Zelenici,Karavanke,1536,808749,99,6
1357,Sveta Ana (Macna) / St. Anna (Matzen),Karavanke,1536,146854,58,3
1358,Zavetišče na planini Šija,Karavanke,1528,492191,90,3
1359,Koča Berta / Bertahütte,Karavanke,1527,2670,35,4
1360,Šoparjev vrh,Karavanke,1524,1670,31,3
1361,Mejnik,Karavanke,1517,161316,59,3
1362,Požgani rob,Karavanke,1513,154999,59,1
1363,Peč (Tromeja),Karavanke,1508,692237,97,10
1364,Planica,Karavanke,1508,343924,77,3
1365,Bukovec,Karavanke,1506,314291,75,1
1366,Polna peč,Karavanke,1503,342441,77,2
1367,"Lipševa vrata (Vrata, Felsentore)",Karavanke,1500,172272,60,1
1368,Žerjavov Praprotnik / Loibler Prapotnik,Karavanke,1500,2180,33,2
1369,Kopa / Monte Coppa,Karavanke,1496,272013,70,2
1370,Dom na Kofcah,Karavanke,1488,1332639,100,13
1371,Jureževa planina,Karavanke,1488,225295,66,1
1372,Borovje,Karavanke,1476,417446,84,3
1373,Okno v Stegovniku,Karavanke,1476,121,8,3
1374,Rabenberg,Karavanke,1465,537,21,3
1375,Veliki Rob / Großer Rain,Karavanke,1464,903,26,4
1376,Planina Ilovica,Karavanke,1462,181775,61,2
1377,Koča Pr Zdravc,Karavanke,1460,275216,71,5
1378,Bela peč (nad Dovjem),Karavanke,1460,4970,41,4
1379,Planina Spodnja Konjščica,Karavanke,1451,367061,80,5
1380,Spominska plošča Jožeta Rozmana,Karavanke,1450,158165,59,1
1381,Borovski vrh (Žehtar) / Sechter,Karavanke,1449,915,26,2
1382,Planina Pungrat,Karavanke,1447,343404,77,3
1383,Črna peč,Karavanke,1447,3540,38,1
1384,Kališje,Karavanke,1435,3500,38,1
1385,Tegoška planina,Karavanke,1430,295615,73,4
1386,Dom pri izviru Završnice,Karavanke,1425,576288,94,2
1387,Lovska koča na Brvogih,Karavanke,1425,223167,66,1
1388,Dreiländereck Hütte,Karavanke,1423,359141,79,4
1389,Plešivška kopa (Kozarnica),Karavanke,1414,120273,55,1
1390,Potočnikova planina,Karavanke,1410,5370,42,1
1391,Planina Rožca / Roschitzaalm,Karavanke,1407,2730,36,1
1392,Planina Spodnja Dolga njiva,Karavanke,1400,530152,92,4
1393,Planina Stamare,Karavanke,1400,347085,78,5
1394,Robič,Karavanke,1384,3550,38,5
1395,Jeseniška planina,Karavanke,1380,267699,70,2
1396,Hruška planina,Karavanke,1378,311510,74,2
1397,Koča na Ljubelju,Karavanke,1370,574687,94,3
1398,Planina Brsnina,Karavanke,1357,2250,33,2
1399,Planina Možine (Razingerjevo molzišče),Karavanke,1352,170988,60,1
1400,Veronjak / Hausberg,Karavanke,1348,650,23,2
1401,Hofovška planina / Hoffmansalpe,Karavanke,1335,492,20,1
1402,Španov vrh,Karavanke,1334,450524,87,6
1403,Sveti Lenart / St. Leonhard,Karavanke,1334,1380,29,1
1404,Planina Rep (Repija),Karavanke,1330,1000,27,2
1405,Primožkovi hribi,Karavanke,1326,1870,32,2
1406,Lovska koča nad Doslovško planino,Karavanke,1325,3010,36,2
1407,Robniške peči,Karavanke,1323,1610,30,2
1408,Bivak brez meja / Bivacco Senza Confini,Karavanke,1319,5830,42,3
1409,Na pečeh pri Črnem Vrhu,Karavanke,1318,2251,33,1
1410,Koča na planini Preval-a,Karavanke,1311,894204,99,4
1411,Govševa planina,Karavanke,1300,2030,32,2
1412,Penatca,Karavanke,1299,934,26,1
1413,Pusti Rovt,Karavanke,1296,318484,75,2
1414,Koča Vrtača,Karavanke,1288,411327,84,1
1415,Roblekova planina,Karavanke,1284,332558,77,5
1416,Lovska koča Stanič,Karavanke,1280,289276,72,1
1417,Koča pod Košuto / Koschutahaus,Karavanke,1280,221496,66,3
1418,Golarjeva peč,Karavanke,1276,179174,61,1
1419,Močnikova planina,Karavanke,1275,156369,59,1
1420,Marija Snežna (Kavalar) / Madonna della Neve,Karavanke,1275,288951,72,2
1421,Obirska planina,Karavanke,1272,232385,67,2
1422,Basališče (Paški Kozjak),Karavanke,1272,489201,90,3
1423,Planina Kladje / Quadiaalm,Karavanke,1271,1570,30,3
1424,Potoška planina,Karavanke,1270,434032,86,4
1425,Vetrh vrh,Karavanke,1268,120211,55,1
1426,Markljev Rovt,Karavanke,1250,260446,69,1
1427,Planina Luža,Karavanke,1250,147019,58,2
1428,Velika Boncla,Karavanke,1241,3567,38,1
1429,Sveti Duh pod Olševo,Karavanke,1232,282829,72,1
1430,Izvir reke Meže,Karavanke,1230,3821,39,1
1431,Božičev vrh / Boschitzberg,Karavanke,1228,229622,66,1
1432,Štrukljev vrh,Karavanke,1227,4370,40,1
1433,Zabreška planina,Karavanke,1225,372553,80,2
1434,Tolsti vrh (pri Poljški planini),Karavanke,1225,5072,41,2
1435,Planinski dom na kmetiji Kumer,Karavanke,1220,4980,41,1
1436,Sveta Ana v Koprivni,Karavanke,1218,2871,36,2
1437,Doslovška planina,Karavanke,1210,3760,39,1
1438,Medvodnica,Karavanke,1202,771,24,2
1439,Žirovniška planina,Karavanke,1200,375755,81,2
1440,Rovt Vrse,Karavanke,1200,303751,74,3
1441,Jesenik (Jesenikov vrh),Karavanke,1199,1960,32,4
1442,Hom (nad Prevaljami),Karavanke,1193,2520,35,2
1443,Brdo (Plezališče pod Golico),Karavanke,1192,2192,33,1
1444,Ostrica,Karavanke,1182,6710,43,1
1445,Valvasorjev dom pod Stolom,Karavanke,1181,659299,97,4
1446,Tomčeva koča na Poljški planini,Karavanke,1180,456115,87,8
1447,Veliki vrh (nad Mežiško dolino),Karavanke,1165,3420,38,5
1448,Virnikova planina,Karavanke,1160,2660,35,1
1449,Smučarski dom Črni vrh,Karavanke,1156,223855,66,3
1450,Šumahov vrh,Karavanke,1155,3810,39,4
1451,Pikov vrh,Karavanke,1149,5550,42,5
1452,Dom na Tromeji,Karavanke,1145,491849,90,2
1453,Alničje,Karavanke,1145,175940,61,3
1454,Hribarska (Huda) zijalka,Karavanke,1140,157821,59,1
1455,Planina Planinca,Karavanke,1136,396733,82,3
1456,Mala Boncla (Bavha),Karavanke,1131,199996,63,1
1457,Planina Goreljše,Karavanke,1125,1250,28,1
1458,Žmitkov špic,Karavanke,1124,294134,72,1
1459,Železna (Kisla) voda,Karavanke,1115,260285,69,1
1460,Zavetišče na Kalu,Karavanke,1112,230200,66,5
1461,Špik (Paški Kozjak),Karavanke,1108,405751,83,1
1462,Erjavčev rovt (Planina Mlinca),Karavanke,1105,6529,43,2
1463,Jelenkamen,Karavanke,1096,413799,84,5
1464,Stenica,Karavanke,1091,324497,76,3
1465,Blažčeva skala,Karavanke,1091,4240,40,1
1466,Planina Dolžanka,Karavanke,1090,219727,65,1
1467,Arihova peč / Arichwand,Karavanke,1090,2440,34,1
1468,Andrejev dom na Slemenu,Karavanke,1086,488977,90,6
1469,Koča nad Arihovo pečjo / Rossalmhütte,Karavanke,1080,1800,31,1
1470,Pogorevc,Karavanke,1076,8290,44,1
1471,Smolnik,Karavanke,1075,414997,84,2
1472,Sveti Vid pod Jernejevim vrhom,Karavanke,1075,152962,59,2
1473,Koča na Naravskih ledinah,Karavanke,1072,308445,74,8
1474,Sveti Jošt na Paškem Kozjaku,Karavanke,1063,3040,36,1
1475,Sveti Jakob v Koprivni,Karavanke,1062,1170,28,1
1476,Kapelica Marijina roka (Stenica),Karavanke,1055,874,26,2
1477,Ajdna,Karavanke,1046,548215,93,7
1478,Partizanska bolnica Krtina,Karavanke,1040,227150,66,1
1479,Bivak Suška bajta,Karavanke,1034,2054,32,3
1480,Sveta Ana (Ljubelj),Karavanke,1032,7030,43,2
1481,Planina Zali potok,Karavanke,1032,1600,30,1
1482,Mirca,Karavanke,1025,4525,40,2
1483,Veliki Mošenik / Große Muschenig,Karavanke,1021,114118,55,2
1484,Stolpnik,Karavanke,1012,520241,92,16
1485,Plakopec (Brezejec),Karavanke,1005,2300,34,1
1486,Izvir Javornika,Karavanke,1000,232231,67,1
1487,Špicasti vrh (Kislica),Karavanke,994,427114,85,2
1488,Koča na Pikovem,Karavanke,992,62482,49,8
1489,Visoko,Karavanke,991,3040,36,2
1490,Sv. Mihael (Rute (Zavrh)) / St. Michael (Bärental),Karavanke,982,608,22,1
1491,Boč,Karavanke,978,829667,99,22
1492,Dom Pristava v Javorniškem Rovtu,Karavanke,975,450089,87,2
1493,Ramšakov vrh,Karavanke,970,312828,75,4
1494,Veliki vrh nad Završnikom,Karavanke,968,186040,62,5
1495,Stara cerkev sv. Ožbolta (Jezersko),Karavanke,961,2980,36,1
1496,Dom na Paškem Kozjaku,Karavanke,960,420089,84,1
1497,Brunarica Krmiše,Karavanke,960,1560,30,1
1498,Srnjak,Karavanke,955,282737,72,1
1499,Radojč,Karavanke,937,329773,76,2
1500,Podgorska planina / Maria Elender Alm,Karavanke,930,109690,54,1
1501,Smodivnik,Karavanke,923,1420,29,1
1502,Hvadnik,Karavanke,920,11790,46,1
1503,Slapovi v Preski,Karavanke,910,3720,39,1
1504,Andrejev vrh,Karavanke,897,3340,37,8
1505,Jerman,Karavanke,890,3490,38,1
1506,Volinjak,Karavanke,886,6670,43,6
1507,Selovec (Gruberjev vrh),Karavanke,885,595,22,3
1508,Donačka gora,Karavanke,884,728430,98,11
1509,Donačka gora (vzhodni vrh),Karavanke,883,3200,37,10
1510,Sveti Danijel (Zgornji Razbor),Karavanke,882,331,16,0
1511,Fričev vrh,Karavanke,881,195604,63,2
1512,Rokov vrh / Rochusberg,Karavanke,880,737,24,2
1513,Stropnica,Karavanke,880,609,22,2
1514,Kamnek,Karavanke,873,339489,77,6
1515,Stegovniški slap,Karavanke,872,148460,58,1
1516,Veliki Juhej,Karavanke,865,2760,36,1
1517,Stropnik,Karavanke,862,605,22,1
1518,Gank,Karavanke,850,1830,31,1
1519,Malnež,Karavanke,846,147499,58,1
1520,Gora sv. Eme (Junska gora) / Hemmaberg,Karavanke,842,2330,34,2
1521,Turška jama v Gozdašnici,Karavanke,835,207317,64,1
1522,Lovska koča Štepih,Karavanke,825,269681,70,4
1523,Plešivec (pri Boču),Karavanke,822,277604,71,7
1524,Časov vrh,Karavanke,821,116216,55,1
1525,Mali Juhej,Karavanke,820,1110,28,1
1526,Sveti Rupert (Završe),Karavanke,815,139400,57,2
1527,Emmis Mosthütte,Karavanke,815,125,9,1
1528,Sveti Vid (Završe),Karavanke,808,139304,57,2
1529,Kapelica Srca Jezusovega (Jelendol),Karavanke,807,1420,29,1
1530,Vinska gora,Karavanke,806,228169,66,2
1531,Poštarski dom pod Plešivcem,Karavanke,805,407509,83,4
1532,Aljažev stolp v Završah,Karavanke,803,164,11,1
1533,Slapovi Dobršnik,Karavanke,800,252396,68,2
1534,Grobnica barona Borna,Karavanke,800,2340,34,1
1535,Črepič,Karavanke,798,189879,62,1
1536,Temnjak,Karavanke,798,140932,57,1
1537,Štalekarjev vrh,Karavanke,792,2240,33,1
1538,Kršiše,Karavanke,790,612,22,2
1539,Kalvarija nad Jesenicami,Karavanke,784,200325,63,2
1540,Skalni vrh (Vodemla),Karavanke,780,13101,46,2
1541,Lubela,Karavanke,778,5985,42,2
1542,Kozjek,Karavanke,766,120723,55,3
1543,Slap pod Gozdašnico (Hudič babo pere),Karavanke,760,6892,43,1
1544,Slap pod Kurico,Karavanke,760,5887,42,1
1545,Skala,Karavanke,750,354066,78,3
1546,Soteska Čepa/Tscheppaschlucht,Karavanke,750,360005,79,1
1547,Kapelica sv. Barbare na Pejcah,Karavanke,750,136631,57,1
1548,Kušpergarjev turn (Kušpergarjevi turni),Karavanke,750,2981,36,1
1549,Kozjek (nad Socko),Karavanke,748,2320,34,1
1550,Gradišče nad Sotesko (Soteska),Karavanke,724,2896,36,1
1551,RIS Dolina (Dovžanova soteska),Karavanke,720,16830,47,3
1552,Maceljska gora,Karavanke,718,1640,31,4
1553,Strana,Karavanke,711,1270,29,1
1554,Čopov rovt,Karavanke,710,2820,36,1
1555,Slapišče pod Kalvarijo,Karavanke,700,1881,32,1
1556,Grad Lindek,Karavanke,695,267278,70,1
1557,Javorniški slapovi,Karavanke,690,12334,46,1
1558,Soteska Mučevo,Karavanke,690,2180,33,2
1559,Dom v Dragi,Karavanke,689,309235,74,1
1560,Galke,Karavanke,684,316,16,4
1561,Ravnocerje,Karavanke,679,272,14,3
1562,Soteska Ziljice / Orrido dello Slizza,Karavanke,675,8570,44,1
1563,Leški cerkvi,Karavanke,674,3180,37,2
1564,Rahtelov vrh,Karavanke,667,702,23,2
1565,Dom na Boču,Karavanke,658,466303,88,12
1566,Sveta Marjeta na Boču,Karavanke,655,183621,62,2
1567,Dedni vrh (Šuštarica),Karavanke,653,602,22,1
1568,Izvir Sotle,Karavanke,640,311148,74,5
1569,Podkanjski slap / Wildensteiner Wasserfall,Karavanke,640,4130,39,1
1570,Gradišna peč,Karavanke,636,176,11,1
1571,Partizanska bolnica na Formili/Boču,Karavanke,630,246930,68,7
1572,Jezero Završnica,Karavanke,630,23210,47,1
1573,Razgledna točka na Stenici,Karavanke,630,614,23,1
1574,Formila na Boču,Karavanke,624,210122,64,7
1575,Rančka,Karavanke,615,328,16,2
1576,TC Rahtel,Karavanke,615,980,26,2
1577,Joški vrh,Karavanke,595,725,24,6
1578,Baba (pri Boču),Karavanke,594,298,15,2
1579,Rudijev dom na Donački gori,Karavanke,590,331570,76,5
1580,Sveti Rok (Sele),Karavanke,582,1440,29,1
1581,Gonžarjeva peč,Karavanke,575,406426,83,2
1582,Babček,Karavanke,575,174839,61,4
1583,Lindeški slap,Karavanke,555,156660,59,1
1584,Mornova zijalka,Karavanke,550,270553,70,1
1585,Planinska koča Velikonočnica,Karavanke,550,7651,44,3
1586,Krajnikov grad,Karavanke,549,114294,55,1
1587,Grilova kapela na Boču,Karavanke,534,193583,63,3
1588,Ljubična gora,Karavanke,533,4650,40,4
1589,Sveti Pankracij (Grajski grič),Karavanke,530,1660,31,3
1590,Grad Konjice,Karavanke,515,235547,67,2
1591,Cerkev Marije rožnovenske (Črešnjice),Karavanke,512,345,16,1
1592,Sveti Donat,Karavanke,511,202809,63,1
1593,Goležev grad,Karavanke,505,577,22,2
1594,Poharčeva smreka,Karavanke,505,175,11,1
1595,Sveti Mihael na Pečici,Karavanke,500,128964,56,2
1596,Cerkev Marije Loretske na Ložnem,Karavanke,481,181,11,2
1597,Škrbatnica,Karavanke,473,136,10,1
1598,Cerkev Marijinega vnebovzetja (Vitanje),Karavanke,472,358,17,1
1599,Sv. Uršula nad Dramljami,Karavanke,464,203266,64,3
1600,Sveta Ana nad Stopercami,Karavanke,460,225,13,1
1601,Sv. Tomaž nad Vojnikom,Karavanke,444,8801,45,2
1602,Sveta Barbara v Zagradu,Karavanke,435,811,25,3
1603,Sveti Miklavž (Sele),Karavanke,435,612,22,1
1604,Turistična kmetija Debelak,Karavanke,405,288,15,1
1605,Zbelovski grad,Karavanke,400,123372,56,2
1606,Cerkev Marije Tolažnice (Brezje nad Žetalami),Karavanke,382,321,16,1
1607,Okrepčevalnica Zelena dolina,Karavanke,360,155,10,1
1608,Razborški ribniki,Karavanke,330,176567,61,1
1609,Sv. Marija Magdalena (Dramlje),Karavanke,327,153393,59,2
1610,Studeniški grad,Karavanke,315,172886,61,5
1611,Sv. Ilija (Spodnje Dramlje),Karavanke,304,141157,57,2
1612,Izvir Toplega (Studeniškega) potoka,Karavanke,295,4542,40,4
1613,Partizanska bolnica Zima,Karavanke,290,245389,68,1
1614,Črni vrh,"Pohorje, Dravinjske gorice in Haloze",1543,602705,96,4
1615,Velika Kopa,"Pohorje, Dravinjske gorice in Haloze",1542,497209,90,7
1616,Jezerski vrh,"Pohorje, Dravinjske gorice in Haloze",1537,430921,85,5
1617,Mali Črni vrh,"Pohorje, Dravinjske gorice in Haloze",1533,330035,76,3
1618,Mala Kopa,"Pohorje, Dravinjske gorice in Haloze",1524,344,16,5
1619,Lovrenška jezera,"Pohorje, Dravinjske gorice in Haloze",1520,819054,99,5
1620,Rogla,"Pohorje, Dravinjske gorice in Haloze",1517,542479,93,12
1621,Ribniška koča,"Pohorje, Dravinjske gorice in Haloze",1507,606725,96,8
1622,Ostruščica,"Pohorje, Dravinjske gorice in Haloze",1498,9930,45,5
1623,Ribniško jezero,"Pohorje, Dravinjske gorice in Haloze",1490,430934,85,5
1624,Cerkev Jezusove spremenitve na gori (Rogla),"Pohorje, Dravinjske gorice in Haloze",1474,1520,30,3
1625,Izvir Dravinje,"Pohorje, Dravinjske gorice in Haloze",1460,2050,32,3
1626,Pot med krošnjami Pohorje,"Pohorje, Dravinjske gorice in Haloze",1460,18370,47,1
1627,Partizanski dom Kope,"Pohorje, Dravinjske gorice in Haloze",1445,1040,27,3
1628,Koča na Jurgovem,"Pohorje, Dravinjske gorice in Haloze",1430,1610,30,3
1629,Pesek,"Pohorje, Dravinjske gorice in Haloze",1423,2960,36,3
1630,Lasina,"Pohorje, Dravinjske gorice in Haloze",1412,1180,28,3
1631,Izvir reke Pake,"Pohorje, Dravinjske gorice in Haloze",1412,11440,45,1
1632,Koča na Pesku,"Pohorje, Dravinjske gorice in Haloze",1386,543052,93,4
1633,Grmovškov dom pod Veliko Kopo,"Pohorje, Dravinjske gorice in Haloze",1371,505062,91,6
1634,Žigartov vrh,"Pohorje, Dravinjske gorice in Haloze",1346,389412,82,17
1635,Veliki vrh (na Pohorju),"Pohorje, Dravinjske gorice in Haloze",1344,4160,39,10
1636,Klopni vrh,"Pohorje, Dravinjske gorice in Haloze",1340,458638,88,14
1637,Tiho jezero (Falski ribnik),"Pohorje, Dravinjske gorice in Haloze",1266,384901,81,2
1638,Turn (pri Klopnem vrhu),"Pohorje, Dravinjske gorice in Haloze",1261,597,22,2
1639,Koča na Klopnem vrhu,"Pohorje, Dravinjske gorice in Haloze",1260,438061,86,10
1640,Ruška koča na Arehu,"Pohorje, Dravinjske gorice in Haloze",1246,588395,95,18
1641,Lukov slap,"Pohorje, Dravinjske gorice in Haloze",1240,13210,46,1
1642,Lamprehtov vrh,"Pohorje, Dravinjske gorice in Haloze",1230,889,26,2
1643,Jezerc,"Pohorje, Dravinjske gorice in Haloze",1222,244643,68,4
1644,Kopnikov vrh,"Pohorje, Dravinjske gorice in Haloze",1220,168,11,1
1645,Črno jezero na Pohorju,"Pohorje, Dravinjske gorice in Haloze",1196,546524,93,7
1646,Dom na Osankarici,"Pohorje, Dravinjske gorice in Haloze",1193,488570,90,9
1647,Ledinekov kogel,"Pohorje, Dravinjske gorice in Haloze",1182,2150,33,11
1648,Sveti Trije kralji,"Pohorje, Dravinjske gorice in Haloze",1181,509947,91,13
1649,Izvir Polskave,"Pohorje, Dravinjske gorice in Haloze",1180,1430,29,4
1650,Vrelenk,"Pohorje, Dravinjske gorice in Haloze",1170,637,23,1
1651,Kremžarjev vrh,"Pohorje, Dravinjske gorice in Haloze",1164,512045,92,8
1652,Mariborski razglednik (Cigelnica),"Pohorje, Dravinjske gorice in Haloze",1147,365538,80,7
1653,Hudičev slap,"Pohorje, Dravinjske gorice in Haloze",1140,450,19,2
1654,Planinski dom Zarja (Hotel Zarja),"Pohorje, Dravinjske gorice in Haloze",1113,1910,32,2
1655,Koča pod Kremžarjevim vrhom,"Pohorje, Dravinjske gorice in Haloze",1102,486415,90,8
1656,Koča na Pesniku,"Pohorje, Dravinjske gorice in Haloze",1101,378031,81,2
1657,Posestvo Šumik,"Pohorje, Dravinjske gorice in Haloze",1100,398204,82,7
1658,Mariborska koča,"Pohorje, Dravinjske gorice in Haloze",1086,580432,95,16
1659,Sveti Bolfenk (Mariborsko Pohorje),"Pohorje, Dravinjske gorice in Haloze",1040,4720,41,7
1660,Partizanska bolnišnica Jesen,"Pohorje, Dravinjske gorice in Haloze",1035,1190,28,3
1661,Koča Planinc,"Pohorje, Dravinjske gorice in Haloze",1010,2530,35,3
1662,Sveta Uršula (Bojtina),"Pohorje, Dravinjske gorice in Haloze",1006,1410,29,2
1663,Repnikov vrh,"Pohorje, Dravinjske gorice in Haloze",988,820,25,3
1664,Jezerce Drtičnikovo,"Pohorje, Dravinjske gorice in Haloze",960,761,24,2
1665,Slap Veliki Šumik,"Pohorje, Dravinjske gorice in Haloze",950,458564,88,6
1666,Sedovnikov vrh,"Pohorje, Dravinjske gorice in Haloze",942,445,19,1
1667,Sveti Križ (Kumen),"Pohorje, Dravinjske gorice in Haloze",928,459,20,1
1668,Framski slap,"Pohorje, Dravinjske gorice in Haloze",925,343732,77,3
1669,Janževski vrh,"Pohorje, Dravinjske gorice in Haloze",915,4130,39,2
1670,Hlebov vrh (Rdeči Breg),"Pohorje, Dravinjske gorice in Haloze",913,5683,42,8
1671,Hotel Tisa (Poštarski dom),"Pohorje, Dravinjske gorice in Haloze",912,1500,30,3
1672,Sveti Urh (Urh),"Pohorje, Dravinjske gorice in Haloze",895,1520,30,4
1673,Slap Mali Šumik,"Pohorje, Dravinjske gorice in Haloze",890,223649,66,4
1674,Sveti Ignacij (Rdeči Breg),"Pohorje, Dravinjske gorice in Haloze",885,686,23,8
1675,Lovski dom LD Gradišče,"Pohorje, Dravinjske gorice in Haloze",880,2370,34,1
1676,Klančnik (Glančnik),"Pohorje, Dravinjske gorice in Haloze",877,634,23,7
1677,Lovska koča Klančnik,"Pohorje, Dravinjske gorice in Haloze",865,874,25,7
1678,Sveta Marija (Smolnik),"Pohorje, Dravinjske gorice in Haloze",860,281,15,2
1679,Sveti Anton (Sveti Anton na Pohorju),"Pohorje, Dravinjske gorice in Haloze",854,302,15,1
1680,Sveti Danijel (nad Trbonjami),"Pohorje, Dravinjske gorice in Haloze",845,1650,31,1
1681,Golarjev vrh,"Pohorje, Dravinjske gorice in Haloze",843,1490,30,1
1682,Sveta Barbara nad Slovenj Gradcem,"Pohorje, Dravinjske gorice in Haloze",829,221841,66,1
1683,Ribnik zahodno od Ošelja,"Pohorje, Dravinjske gorice in Haloze",824,336,16,2
1684,Majalova kapelica,"Pohorje, Dravinjske gorice in Haloze",823,329,16,2
1685,Dolina Radoljne (Pruh),"Pohorje, Dravinjske gorice in Haloze",814,113,8,1
1686,Kebeljski grad (Zajčev grad),"Pohorje, Dravinjske gorice in Haloze",813,1270,29,3
1687,Ribnika Devin v Ošelju,"Pohorje, Dravinjske gorice in Haloze",812,290,15,2
1688,Maroltova jelka (Bistriški vintgar),"Pohorje, Dravinjske gorice in Haloze",800,1090,27,1
1689,Sveti Martin (Šmartno na Pohorju),"Pohorje, Dravinjske gorice in Haloze",780,238,13,2
1690,Golek,"Pohorje, Dravinjske gorice in Haloze",769,3760,39,5
1691,Gorenje pri Zrečah,"Pohorje, Dravinjske gorice in Haloze",760,426,19,2
1692,Razgledna ploščad pri Ančnikovem gradišču,"Pohorje, Dravinjske gorice in Haloze",760,838,25,1
1693,Anski vrh (nad Pamečami),"Pohorje, Dravinjske gorice in Haloze",756,3860,39,1
1694,Ančnikovo gradišče,"Pohorje, Dravinjske gorice in Haloze",750,225715,66,1
1695,Sveti Lenart (Koritno),"Pohorje, Dravinjske gorice in Haloze",745,223,13,1
1696,Šetorov mlin,"Pohorje, Dravinjske gorice in Haloze",745,750,24,2
1697,Trije križi na Konjiški gori,"Pohorje, Dravinjske gorice in Haloze",727,5486,42,1
1698,Pečke,"Pohorje, Dravinjske gorice in Haloze",720,359380,79,5
1699,Sveta Magdalena (Brda),"Pohorje, Dravinjske gorice in Haloze",718,118833,55,1
1700,Ribnica na Pohorju,"Pohorje, Dravinjske gorice in Haloze",715,3910,39,1
1701,Lobnikov vrh,"Pohorje, Dravinjske gorice in Haloze",705,131238,57,4
1702,Koglerjev vrh,"Pohorje, Dravinjske gorice in Haloze",698,579,22,2
1703,Sveti Križ (Planica),"Pohorje, Dravinjske gorice in Haloze",692,658,23,1
1704,Sveti Miklavž (Koritno),"Pohorje, Dravinjske gorice in Haloze",678,243,14,1
1705,Lovski dom - LD Fram,"Pohorje, Dravinjske gorice in Haloze",668,640,23,1
1706,Sveti Primož (Sveti Primož na Pohorju),"Pohorje, Dravinjske gorice in Haloze",667,609,22,1
1707,Sveti Janez Krstnik (Šentjanž nad Dravčami),"Pohorje, Dravinjske gorice in Haloze",655,298,15,1
1708,Sv. Peter in Pavel (Veliko Tinje),"Pohorje, Dravinjske gorice in Haloze",655,345,16,1
1709,Potnikova smreka,"Pohorje, Dravinjske gorice in Haloze",651,506,20,2
1710,Jelovice,"Pohorje, Dravinjske gorice in Haloze",623,4870,41,3
1711,Globokarjev vrh,"Pohorje, Dravinjske gorice in Haloze",616,314,15,1
1712,Brinjeva gora (nad Zrečami),"Pohorje, Dravinjske gorice in Haloze",616,17140,47,5
1713,Golika,"Pohorje, Dravinjske gorice in Haloze",609,448,19,1
1714,Sveti Mohor (Lačna Gora),"Pohorje, Dravinjske gorice in Haloze",602,610,22,1
1715,Hožičev vrh,"Pohorje, Dravinjske gorice in Haloze",595,415,18,1
1716,Slap Šum (Bistriški vintgar),"Pohorje, Dravinjske gorice in Haloze",590,4270,40,1
1717,Kerješetov vrh,"Pohorje, Dravinjske gorice in Haloze",590,318,16,2
1718,Sveti Martin (Zlakova),"Pohorje, Dravinjske gorice in Haloze",589,511,21,2
1719,Grad Gromberg,"Pohorje, Dravinjske gorice in Haloze",587,675,23,1
1720,Lorbekov vrh,"Pohorje, Dravinjske gorice in Haloze",578,444,19,1
1721,Rudnica (nad Podčetrtkom),"Pohorje, Dravinjske gorice in Haloze",548,24660,47,7
1722,Sveti Bolfenk (Jelovice),"Pohorje, Dravinjske gorice in Haloze",537,732,24,2
1723,Arheološko najdišče Poštela,"Pohorje, Dravinjske gorice in Haloze",525,429,19,1
1724,Skala (nad Dravogradom),"Pohorje, Dravinjske gorice in Haloze",525,3521,38,1
1725,Gradišče (nad Slovenj Gradcem),"Pohorje, Dravinjske gorice in Haloze",516,3530,38,1
1726,Sveti Avguštin,"Pohorje, Dravinjske gorice in Haloze",504,182533,61,4
1727,Kluže,"Pohorje, Dravinjske gorice in Haloze",496,387,18,1
1728,Slap Šum (Polskavski vintgar),"Pohorje, Dravinjske gorice in Haloze",465,582,22,1
1729,Izletniška kmetija Ančka,"Pohorje, Dravinjske gorice in Haloze",460,475,20,2
1730,Sv. Ana nad Makolami,"Pohorje, Dravinjske gorice in Haloze",460,2401,34,0
1731,Janški vrh,"Pohorje, Dravinjske gorice in Haloze",417,3420,38,3
1732,Sv. Marjeta (Ritoznoj),"Pohorje, Dravinjske gorice in Haloze",407,828,25,1
1733,Cerkev Device Marije na Kamnu,"Pohorje, Dravinjske gorice in Haloze",381,1100,27,0
1734,Vodni izvir Zlati studenec,"Pohorje, Dravinjske gorice in Haloze",375,590,22,1
1735,Zveličarjeva kapela (Velika Varnica),"Pohorje, Dravinjske gorice in Haloze",370,384,18,1
1736,Ptujska Gora,"Pohorje, Dravinjske gorice in Haloze",342,4770,41,4
1737,Kapela sv. Ane v Puščavi,"Pohorje, Dravinjske gorice in Haloze",330,521,21,2
1738,Cerkev sv. Treh kraljev v Ješovcu,"Pohorje, Dravinjske gorice in Haloze",320,36,1,2
