gora_id,ime,cas,zahtevnost
58,Široko - Veliki vrh (nad Lomom) (skozi Grudnico - po poti Lom je moj dom),110,lahka označena pot
58,Postaja (Most na Soči) - Veliki vrh (nad Lomom),195,lahka označena pot
59,Cvetrež - Lašček,60,lahka označena pot
59,Srednji Lokovec - Lašček (skozi Raštelo),120,lahka označena pot
59,Srednji Lokovec - Lašček (skozi Novo Mesto),105,lahka označena pot
59,Cvetrež - Lašček (po cesti),80,lahka označena pot
60,Solarji - Bivak Zanuso na Kolovratu,75,lahka označena pot
60,Livške Ravne - Bivak Zanuso na Kolovratu,35,lahka označena pot
61,Kamen - Mokrc,40,lahka označena pot
62,Zagrad - Ostrič,65,lahka označena pot
63,Predmeja (tuneli) - Mala gora (Srednječavenska pot),90,delno zahtevna označena pot
63,Kamnje - Mala gora,120,lahka označena pot
63,Stomaž - Mala gora,120,lahka označena pot
63,Vrtovin - Mala gora,140,lahka označena pot
64,Kamenščina - Bele ovce,30,lahka neoznačena steza
65,Podgorje - Slavnik (položna pot),100,lahka označena pot
65,Podgorje - Slavnik (strma pot),80,lahka označena pot
65,Skadanščina - Slavnik,100,lahka označena pot
65,Prešnica - Slavnik,120,lahka označena pot
65,Hrpelje - Slavnik,210,lahka označena pot
65,Skadanščina - Slavnik (mimo planine Jegno),130,lahka označena pot
65,Lovski dom pod Glavico - Slavnik (po cesti),150,"lahka neoznačena steza, lahka označena pot"
65,Skadanščina - Slavnik (čez Mala Vrata),180,lahka označena pot
65,Skadanščina - Slavnik (čez planino Jegno),145,lahka označena pot
65,Povžane - Slavnik,135,lahka označena pot
65,Povžane - Slavnik (čez planino Jegno),150,lahka označena pot
66,Senožeče - Vremščica,105,lahka označena pot
66,Volče - Vremščica,90,lahka označena pot
66,Loščica - Vremščica,75,lahka označena pot
66,Gabrče - Vremščica,120,lahka označena pot
66,Gornje Ležeče - Vremščica,100,lahka označena pot
66,Matavun - Vremščica,195,lahka označena pot
66,Podgora - Vremščica,120,lahka označena pot
66,Famlje - Vremščica (začasno ZAPRTA pot!),150,lahka označena pot
67,Eko koča Nanos (Lovska koča Vojkovo) - Sveti Hieronim (na Nanosu),75,lahka označena pot
67,Razdrto - Sveti Hieronim (na Nanosu),105,lahka označena pot
67,Lozice - Sveti Hieronim (na Nanosu),145,lahka označena pot
67,Hrašče - Sveti Hieronim (na Nanosu) (mimo korit),155,lahka označena pot
67,Gradišče pri Vipavi - Sveti Hieronim (na Nanosu) (mimo sv. Miklavža),195,lahka označena pot
67,Hrašče - Sveti Hieronim (na Nanosu) (čez Brižnik),155,lahka označena pot
67,Podnanos - Sveti Hieronim (na Nanosu) (Pod zatrepom),195,lahka označena pot
68,Studeno - Gora (Sveti Lovrenc),65,lahka označena pot
68,Gorenje - Gora (Sveti Lovrenc),75,lahka označena pot
68,Gorenje - Gora (Sveti Lovrenc) (položna pot),105,lahka neoznačena steza
69,Sedlo nad Lohačo - Špilnik (Zgornja pot - čez Lipovec),40,lahka označena pot
69,Sedlo nad Lohačo - Špilnik (Spodnja pot),30,lahka označena pot
70,Travna Gora - Koča na Kamnem griču,45,lahka označena pot
70,Nova Štifta - Koča na Kamnem griču,95,lahka označena pot
70,Hrib-Loški Potok - Koča na Kamnem griču,75,lahka označena pot
70,Mali Log - Koča na Kamnem griču,50,lahka označena pot
70,Uglov laz - Koča na Kamnem griču (mimo Doma na Travni Gori),120,lahka označena pot
70,Lom - Koča na Kamnem griču,45,lahka označena pot
70,Retjiški gozd - Koča na Kamnem griču,25,lahka označena pot
71,Strma Reber - Firstov rep,65,lahka označena pot
71,Ravne - Firstov rep,85,lahka označena pot
71,Osilnica - Firstov rep,205,lahka označena pot
71,18. serpentina ceste na Strmo Reber - Firstov rep,120,lahka označena pot
71,Bezgovica - Firstov rep,135,lahka označena pot
72,Izvir Hublja - Sinji vrh (mimo Otliškega okna),135,lahka označena pot
72,Otlica - Sinji vrh,80,lahka označena pot
72,Stara baba - Sinji vrh,105,lahka neoznačena steza
